env,cost_limit,source,seed,target_steps,score,cost,reached_target
Safety2x4AntVelocity-v0,25.0,MACPO Run (1M),1,1000000,189.49941994462694,0.21428571428571427,True
Safety2x4AntVelocity-v0,25.0,MACPO Run (1M),2,1000000,322.95756685733795,0.125,True
Safety2x4AntVelocity-v0,25.0,MACPO Run (1M),3,1000000,290.71900075276693,0.4,True
Safety4x2AntVelocity-v0,25.0,MACPO Run (1M),1,1000000,425.8219970703125,0.5,True
Safety4x2AntVelocity-v0,25.0,MACPO Run (1M),2,1000000,263.5604665419635,0.11764705882352941,True
Safety4x2AntVelocity-v0,25.0,MACPO Run (1M),3,1000000,432.8651247024536,0.3333333333333333,True
Safety2x3HalfCheetahVelocity-v0,25.0,MACPO Run (1M),1,1000000,188.55772632360458,0.0,True
Safety2x3HalfCheetahVelocity-v0,25.0,MACPO Run (1M),2,1000000,225.80235719680786,0.0,True
Safety2x4AntVelocity-v0,25.0,MAPPO-Lag Run (1M),1,1000000,386.50096130371094,0.0,True
Safety2x4AntVelocity-v0,25.0,MAPPO-Lag Run (1M),2,1000000,467.4850616455078,0.30000001192092896,True
Safety2x4AntVelocity-v0,25.0,MAPPO-Lag Run (1M),3,1000000,463.5251922607422,0.0714285746216774,True
Safety4x2AntVelocity-v0,25.0,MAPPO-Lag Run (1M),1,1000000,502.9873504638672,0.0,True
Safety4x2AntVelocity-v0,25.0,MAPPO-Lag Run (1M),2,1000000,599.7633056640625,0.4000000059604645,True
Safety4x2AntVelocity-v0,25.0,MAPPO-Lag Run (1M),3,1000000,584.7201538085938,0.6000000014901161,True
Safety2x3HalfCheetahVelocity-v0,25.0,MAPPO-Lag Run (1M),1,1000000,742.05615234375,0.10000000149011612,True
Safety2x3HalfCheetahVelocity-v0,25.0,MAPPO-Lag Run (1M),2,1000000,766.0050659179688,0.0,True
Safety2x3HalfCheetahVelocity-v0,25.0,MAPPO-Lag Run (1M),3,1000000,865.7408447265625,0.5000000149011612,True
