step,beta,cost
28.0,,0.0
149.0,,0.0
182.0,,0.0
295.0,,0.0
349.7708333333333,0.0,
404.5416666666667,0.0,
459.3125,0.0,
524.0416666666667,0.0,
534.0,,2.0
589.0,0.0,
649.5,0.0,
715.5,0.0,
776.0,0.0,
787.0,,2.0
806.530612244898,0.0,
827.8367346938776,0.0,
850.9183673469388,0.0,
870.4489795918367,0.0,
874.0,,3.0
1274.0,0.0,
1451.7777777777778,0.0,
1607.3333333333333,0.0,
1829.5555555555557,0.0,
1874.0,,12.0
1890.8,0.0,
1904.24,0.0,
1914.32,0.0,
1927.76,0.0,
1930.0,,0.0
1986.0,0.0,
2014.0,0.0,
2045.5,0.0,
2091.0,0.0,
2098.0,,0.0
2118.8297872340427,0.0,
2139.659574468085,0.0,
2164.276595744681,0.0,
2183.2127659574467,0.0,
2187.0,,0.0
2228.4285714285716,0.0,
2256.0476190476193,0.0,
2283.6666666666665,0.0,
2325.095238095238,0.0,
2332.0,,0.0
2365.090909090909,0.0,
2388.7272727272725,0.0,
2410.0,0.0,
2431.2727272727275,0.0,
2436.0,,0.0
2453.860465116279,0.0,
2470.232558139535,0.0,
2485.1162790697676,0.0,
2497.0232558139537,0.0,
2500.0,,0.0
2504.813953488372,0.0,
2511.767441860465,0.0,
2518.720930232558,0.0,
2521.9302325581393,0.0,
2523.0,,0.0
2609.5116279069766,0.0,
2688.813953488372,0.0,
2746.4883720930234,0.0,
2818.5813953488373,0.0,
2833.0,,0.0
3023.4761904761904,0.0,
3356.809523809524,0.0,
3571.095238095238,0.0,
3785.3809523809523,0.0,
3833.0,,9.0
4049.2162162162163,0.0,
4265.4324324324325,0.0,
4562.72972972973,0.0,
4778.945945945946,0.0,
4833.0,,0.0
4965.085106382979,0.0,
5055.893617021276,0.0,
5113.680851063829,0.0,
5204.489361702128,0.0,
5221.0,,0.0
5489.292682926829,0.0,
5708.804878048781,0.0,
6001.487804878048,0.0,
6172.219512195122,0.0,
6221.0,,0.0
6554.333333333333,0.0,
6721.0,0.0,
6998.777777777777,0.0,
7165.444444444444,0.0,
7221.0,,0.0
7563.105263157895,0.0,
7747.315789473684,0.0,
7931.526315789473,0.0,
8168.368421052632,0.0,
8221.0,,0.0
8528.692307692309,0.0,
8733.820512820514,0.0,
8938.948717948719,0.0,
9169.71794871795,0.0,
9221.0,,0.0
9511.90909090909,0.0,
9766.454545454546,0.0,
9966.454545454546,0.0,
10184.636363636364,0.0,
10221.0,,0.0
10521.0,0.0,
10796.0,0.0,
10996.0,0.0,
11171.0,0.0,
11221.0,,0.0
11482.904761904761,0.0,
11744.809523809523,0.0,
11959.095238095239,0.0,
12173.380952380952,0.0,
12221.0,,0.0
12493.727272727272,0.0,
12766.454545454546,0.0,
12948.272727272728,0.0,
13175.545454545454,0.0,
13221.0,,0.0
13457.842105263158,0.0,
13615.736842105263,0.0,
13878.894736842105,0.0,
14168.368421052632,0.0,
14221.0,,0.0
14481.869565217392,0.0,
14655.782608695652,0.0,
14807.95652173913,0.0,
15177.521739130434,0.0,
15221.0,,0.0
15493.727272727272,0.0,
15748.272727272728,0.0,
15930.09090909091,0.0,
16184.636363636364,0.0,
16221.0,,0.0
16576.555555555555,0.0,
16798.777777777777,0.0,
16954.333333333332,0.0,
17176.555555555555,0.0,
17221.0,,0.0
17518.297297297297,0.0,
17761.54054054054,0.0,
17950.72972972973,0.0,
18166.945945945947,0.0,
18221.0,,0.0
18421.0,0.0,
18596.0,0.0,
18871.0,0.0,
19171.0,0.0,
19221.0,,0.0
19503.608695652172,0.0,
19699.260869565216,0.0,
20003.608695652176,0.0,
20177.521739130436,0.0,
20221.0,,0.0
20569.837209302324,0.0,
20825.6511627907,0.0,
20988.441860465115,0.0,
21174.488372093023,0.0,
21221.0,,0.0
21490.23076923077,0.0,
21721.0,0.0,
22009.46153846154,0.0,
22182.53846153846,0.0,
22221.0,,0.0
22554.333333333332,0.0,
22798.777777777777,0.0,
22976.555555555555,0.0,
23176.555555555555,0.0,
23221.0,,0.0
23482.904761904763,0.0,
23697.190476190477,0.0,
23911.47619047619,0.0,
24173.380952380954,0.0,
24221.0,,0.0
24465.897959183672,0.0,
24690.38775510204,0.0,
24914.877551020407,0.0,
25180.183673469386,0.0,
25221.0,,0.0
25471.0,0.0,
25796.0,0.0,
