step,beta,cost
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,0.0,
1000.0,,0.0
1302.3255813953488,0.0,
1488.3720930232557,0.0,
1674.4186046511627,0.0,
1953.4883720930231,0.0,
2000.0,,0.0
2255.31914893617,0.0,
2489.3617021276596,0.0,
2808.5106382978724,0.0,
2957.446808510638,0.0,
3000.0,,0.0
3357.1428571428573,0.0,
3571.4285714285716,0.0,
3738.095238095238,0.0,
3952.3809523809523,0.0,
4000.0,,0.0
4216.216216216216,0.0,
4351.351351351352,0.0,
4540.540540540541,0.0,
4945.945945945946,0.0,
5000.0,,0.0
5236.8421052631575,0.0,
5447.368421052632,0.0,
5736.8421052631575,0.0,
5947.368421052632,0.0,
6000.0,,0.0
6285.714285714285,0.0,
6448.9795918367345,0.0,
6755.102040816327,0.0,
6959.183673469388,0.0,
7000.0,,0.0
7257.142857142857,0.0,
7457.142857142857,0.0,
7657.142857142857,0.0,
7942.857142857143,0.0,
8000.0,,0.0
8222.222222222223,0.0,
8444.444444444445,0.0,
8644.444444444445,0.0,
8955.555555555555,0.0,
9000.0,,0.0
9325.581395348838,0.0,
9511.627906976744,0.0,
9767.441860465116,0.0,
9953.488372093023,0.0,
10000.0,,0.0
10361.702127659575,0.0,
10617.021276595744,0.0,
10808.510638297872,0.0,
10957.446808510638,0.0,
11000.0,,0.0
11295.454545454546,0.0,
11454.545454545454,0.0,
11659.09090909091,0.0,
11954.545454545454,0.0,
12000.0,,0.0
12312.5,0.0,
12583.333333333334,0.0,
12791.666666666666,0.0,
12958.333333333334,0.0,
13000.0,,0.0
13294.117647058823,0.0,
13529.411764705883,0.0,
13784.313725490196,0.0,
13960.78431372549,0.0,
14000.0,,0.0
14250.0,0.0,
14454.545454545454,0.0,
14727.272727272728,0.0,
14954.545454545454,0.0,
15000.0,,0.0
15272.727272727272,0.0,
15454.545454545454,0.0,
15681.818181818182,0.0,
15954.545454545454,0.0,
16000.0,,0.0
16279.06976744186,0.0,
16511.627906976744,0.0,
16720.93023255814,0.0,
16953.488372093023,0.0,
17000.0,,0.0
17307.69230769231,0.0,
17512.82051282051,0.0,
17769.23076923077,0.0,
17948.71794871795,0.0,
18000.0,,0.0
18311.11111111111,0.0,
18511.11111111111,0.0,
18711.11111111111,0.0,
18955.555555555555,0.0,
19000.0,,0.0
19309.090909090908,0.0,
19527.272727272728,0.0,
19709.090909090908,0.0,
19963.636363636364,0.0,
20000.0,,0.0
20179.48717948718,0.0,
20461.53846153846,0.0,
20717.94871794872,0.0,
20948.71794871795,0.0,
21000.0,,0.0
21214.285714285714,0.0,
21476.190476190477,0.0,
21738.095238095237,0.0,
21952.380952380954,0.0,
22000.0,,0.0
22250.0,0.0,
22500.0,0.0,
22700.0,0.0,
22950.0,0.0,
23000.0,,0.0
23333.333333333332,0.0,
23577.777777777777,0.0,
23777.777777777777,0.0,
23955.555555555555,0.0,
24000.0,,0.0
24222.222222222223,0.0,
24500.0,0.0,
24722.222222222223,0.0,
24944.444444444445,0.0,
25000.0,,0.0
25302.325581395347,0.0,
25488.372093023256,0.0,
25790.697674418603,0.0,
25953.488372093023,0.0,
26000.0,,0.0
26268.29268292683,0.0,
26439.024390243903,0.0,
26707.317073170732,0.0,
26951.219512195123,0.0,
27000.0,,0.0
27288.13559322034,0.0,
27593.22033898305,0.0,
27694.915254237287,0.0,
27966.101694915254,0.0,
28000.0,,0.0
28333.333333333332,0.0,
28512.82051282051,0.0,
28692.30769230769,0.0,
28948.71794871795,0.0,
29000.0,,0.0
29227.272727272728,0.0,
29477.272727272728,0.0,
29659.090909090908,0.0,
29954.545454545456,0.0,
30000.0,,0.0
30219.51219512195,0.0,
30365.853658536584,0.0,
30658.536585365855,0.0,
30951.219512195123,0.0,
31000.0,,0.0
31318.18181818182,0.0,
31522.727272727272,0.0,
31704.545454545456,0.0,
31954.545454545456,0.0,
