map,algorithm,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,SafeDreamers,0,19.358,0.086,3.791,0.393,0.831,0.028
1c3s5z,SafeDreamers,4,19.2,0.356,4.535,0.663,0.81,0.079
1c3s5z,SafePO,0,8.424,0.072,9.0,0.0,0.0,0.0
1c3s5z,SafePO,4,8.427,0.208,9.0,0.0,0.0,0.0
2m_vs_1z,SafeDreamers,0,19.479,0.171,0.154,0.026,0.961,0.014
2m_vs_1z,SafeDreamers,1,19.318,0.282,0.163,0.086,0.949,0.023
2m_vs_1z,SafePO,0,3.245,0.134,2.0,0.0,0.0,0.0
2m_vs_1z,SafePO,1,3.644,0.02,2.0,0.0,0.0,0.0
2s3z,SafeDreamers,0,18.678,0.381,2.078,0.373,0.795,0.05
2s3z,SafeDreamers,4,17.99,0.765,2.971,0.333,0.674,0.099
2s3z,SafePO,0,3.658,0.052,5.0,0.0,0.0,0.0
2s3z,SafePO,4,5.472,0.082,5.0,0.0,0.0,0.0
2s_vs_1sc,SafeDreamers,0,19.758,0.271,0.19,0.058,0.943,0.031
2s_vs_1sc,SafeDreamers,1,19.634,0.269,0.325,0.128,0.933,0.029
2s_vs_1sc,SafePO,0,2.891,0.324,2.0,0.0,0.0,0.0
2s_vs_1sc,SafePO,1,5.177,0.325,2.0,0.0,0.0,0.0
3m,SafeDreamers,0,19.589,0.092,0.335,0.073,0.972,0.01
3m,SafeDreamers,1,19.127,0.191,0.582,0.128,0.93,0.014
3m,SafePO,0,2.466,0.074,3.0,0.0,0.0,0.0
3m,SafePO,1,3.006,0.031,3.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,0,11.445,0.52,7.982,0.025,0.009,0.013
3s5z_vs_3s6z,SafeDreamers,4,10.973,0.423,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,0,3.473,0.046,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,4,4.011,0.011,8.0,0.0,0.0,0.0
3s_vs_3z,SafeDreamers,0,19.598,0.514,1.024,0.454,0.926,0.07
3s_vs_3z,SafeDreamers,1,19.605,0.201,1.103,0.382,0.913,0.039
3s_vs_3z,SafeDreamers,4,18.783,1.326,1.188,0.538,0.842,0.171
3s_vs_3z,SafePO,0,6.479,0.051,3.0,0.0,0.0,0.0
3s_vs_3z,SafePO,1,6.655,0.051,3.0,0.0,0.0,0.0
3s_vs_4z,SafeDreamers,0,17.773,1.119,2.231,0.58,0.447,0.256
3s_vs_4z,SafeDreamers,1,17.951,1.569,2.419,0.286,0.415,0.164
3s_vs_4z,SafePO,0,4.647,0.043,3.0,0.0,0.0,0.0
3s_vs_4z,SafePO,1,4.807,0.037,3.0,0.0,0.0,0.0
3s_vs_5z,SafeDreamers,0,16.752,1.756,2.94,0.044,0.06,0.044
3s_vs_5z,SafeDreamers,1,15.101,2.954,2.829,0.205,0.078,0.092
3s_vs_5z,SafePO,0,3.595,0.016,3.0,0.0,0.0,0.0
3s_vs_5z,SafePO,1,3.721,0.035,3.0,0.0,0.0,0.0
8m,SafeDreamers,0,19.512,0.181,2.391,0.125,0.939,0.023
8m,SafeDreamers,4,18.266,0.521,4.322,0.448,0.797,0.059
8m,SafePO,0,1.366,0.006,8.0,0.0,0.0,0.0
8m,SafePO,4,1.727,0.033,8.0,0.0,0.0,0.0
MMM,SafeDreamers,0,17.513,1.095,7.399,0.926,0.618,0.131
MMM,SafeDreamers,4,14.654,2.14,8.375,0.708,0.382,0.181
MMM,SafePO,0,1.778,0.025,10.0,0.0,0.0,0.0
MMM,SafePO,4,1.821,0.048,10.0,0.0,0.0,0.0
bane_vs_bane,SafeDreamers,0,19.467,0.733,6.869,3.044,0.9,0.137
bane_vs_bane,SafeDreamers,4,19.982,0.041,5.997,1.163,0.992,0.011
bane_vs_bane,SafePO,0,19.381,0.093,22.352,0.047,0.79,0.02
bane_vs_bane,SafePO,4,19.384,0.087,22.285,0.077,0.802,0.029
