map,algorithm,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,SafeDreamers,0,19.002,0.383,4.773,0.763,0.768,0.085
1c3s5z,SafeDreamers,4,18.857,0.84,5.268,1.266,0.734,0.166
1c3s5z,SafePO,0,7.642,0.158,9.0,0.0,0.0,0.0
1c3s5z,SafePO,4,7.787,0.049,9.0,0.0,0.0,0.0
2m_vs_1z,SafeDreamers,0,19.206,0.148,0.173,0.015,0.94,0.009
2m_vs_1z,SafeDreamers,1,19.662,0.053,0.1,0.008,0.974,0.003
2m_vs_1z,SafePO,0,2.715,0.177,2.0,0.0,0.0,0.0
2m_vs_1z,SafePO,1,3.127,0.012,2.0,0.0,0.0,0.0
2s3z,SafeDreamers,0,17.678,0.336,2.969,0.207,0.636,0.018
2s3z,SafeDreamers,4,17.301,0.671,3.101,0.263,0.614,0.093
2s3z,SafePO,0,3.685,0.02,5.0,0.0,0.0,0.0
2s3z,SafePO,4,4.857,0.039,5.0,0.0,0.0,0.0
2s_vs_1sc,SafeDreamers,0,19.795,0.404,0.245,0.138,0.947,0.047
2s_vs_1sc,SafeDreamers,1,19.471,0.421,0.365,0.137,0.911,0.043
2s_vs_1sc,SafePO,0,2.445,0.105,2.0,0.0,0.0,0.0
2s_vs_1sc,SafePO,1,4.215,0.215,2.0,0.0,0.0,0.0
3m,SafeDreamers,0,19.657,0.101,0.568,0.127,0.96,0.018
3m,SafeDreamers,1,18.358,0.819,0.894,0.194,0.868,0.065
3m,SafePO,0,2.064,0.105,3.0,0.0,0.0,0.0
3m,SafePO,1,2.546,0.035,3.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,0,10.607,0.102,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,4,10.691,0.333,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,0,3.467,0.024,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,4,3.864,0.036,8.0,0.0,0.0,0.0
3s_vs_3z,SafeDreamers,0,19.536,0.373,0.982,0.428,0.922,0.061
3s_vs_3z,SafeDreamers,1,19.561,0.144,1.08,0.29,0.926,0.019
3s_vs_3z,SafeDreamers,4,19.65,0.127,0.785,0.101,0.947,0.023
3s_vs_3z,SafePO,0,6.04,0.042,3.0,0.0,0.0,0.0
3s_vs_3z,SafePO,1,6.276,0.099,3.0,0.0,0.0,0.0
3s_vs_4z,SafeDreamers,0,14.273,0.56,2.87,0.076,0.07,0.055
3s_vs_4z,SafeDreamers,1,15.131,0.825,2.888,0.058,0.094,0.046
3s_vs_4z,SafePO,0,4.392,0.034,3.0,0.0,0.0,0.0
3s_vs_4z,SafePO,1,4.548,0.013,3.0,0.0,0.0,0.0
3s_vs_5z,SafeDreamers,0,17.07,2.508,2.987,0.018,0.013,0.018
3s_vs_5z,SafeDreamers,1,13.304,1.138,2.976,0.017,0.024,0.017
3s_vs_5z,SafePO,0,3.443,0.028,3.0,0.0,0.0,0.0
3s_vs_5z,SafePO,1,3.521,0.016,3.0,0.0,0.0,0.0
8m,SafeDreamers,0,18.79,0.484,3.425,0.404,0.857,0.053
8m,SafeDreamers,4,18.411,0.226,4.094,0.382,0.815,0.021
8m,SafePO,0,1.426,0.007,8.0,0.0,0.0,0.0
8m,SafePO,4,1.627,0.011,8.0,0.0,0.0,0.0
MMM,SafeDreamers,0,16.113,0.28,7.787,0.379,0.531,0.043
MMM,SafeDreamers,4,16.244,1.71,7.349,0.946,0.57,0.183
MMM,SafePO,0,1.874,0.012,10.0,0.0,0.0,0.0
MMM,SafePO,4,1.89,0.041,10.0,0.0,0.0,0.0
bane_vs_bane,SafeDreamers,0,19.369,0.903,9.122,6.176,0.847,0.216
bane_vs_bane,SafeDreamers,4,18.91,0.513,12.774,3.073,0.817,0.101
bane_vs_bane,SafePO,0,19.256,0.013,22.546,0.018,0.79,0.015
bane_vs_bane,SafePO,4,19.374,0.087,22.403,0.063,0.803,0.019
