map,algorithm,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
2s3z,MACPO,0.0,9.236,0.212,0.065,0.024,0.0,0.0
2s3z,SafeDreamers,0.0,18.72,0.439,0.157,0.109,0.787,0.074
2s_vs_1sc,MACPO,0.0,12.232,0.478,0.0,0.0,0.11,0.044
2s_vs_1sc,SafeDreamers,0.0,19.856,0.22,0.0,0.0,0.955,0.029
3m,MACPO,0.0,11.201,0.96,0.117,0.026,0.335,0.07
3m,SafeDreamers,0.0,19.032,0.907,0.018,0.021,0.921,0.072
3s5z_vs_3s6z,MACPO,0.0,6.835,0.074,0.095,0.011,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,0.0,10.653,0.818,0.863,0.077,0.009,0.015
3s_vs_3z,MACPO,0.0,8.324,0.071,0.0,0.0,0.0,0.0
3s_vs_3z,SafeDreamers,0.0,19.894,0.05,0.023,0.03,0.974,0.013
3s_vs_4z,MACPO,0.0,5.766,0.134,0.0,0.0,0.0,0.0
3s_vs_4z,SafeDreamers,0.0,15.493,3.71,0.261,0.233,0.062,0.091
3s_vs_5z,MACPO,0.0,4.776,0.262,0.0,0.0,0.0,0.0
3s_vs_5z,SafeDreamers,0.0,13.717,2.973,0.076,0.07,0.015,0.026
8m,MACPO,0.0,7.205,0.321,0.698,0.05,0.0,0.0
8m,SafeDreamers,0.0,17.493,0.435,0.584,0.058,0.707,0.049
MMM,MACPO,0.0,6.92,0.153,1.498,0.019,0.0,0.0
MMM,SafeDreamers,0.0,15.124,0.17,1.197,0.523,0.394,0.03
bane_vs_bane,MACPO,0.0,19.661,0.091,0.647,0.002,0.882,0.055
bane_vs_bane,SafeDreamers,0.0,18.204,0.587,0.154,0.13,0.567,0.105
