map,algorithm,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,SafeDreamers,0.0,19.287,0.144,4.232,0.273,0.82,0.024
1c3s5z,SafeDreamers,4.0,19.149,0.525,4.834,0.941,0.79,0.115
2m_vs_1z,SafeDreamers,0.0,19.305,0.487,0.142,0.083,0.948,0.036
2m_vs_1z,SafeDreamers,1.0,19.339,0.376,0.145,0.092,0.95,0.028
2s3z,SafeDreamers,0.0,18.436,0.246,2.279,0.38,0.767,0.04
2s3z,SafeDreamers,4.0,17.371,1.38,2.98,0.635,0.63,0.154
2s_vs_1sc,SafeDreamers,0.0,19.952,0.214,0.23,0.114,0.962,0.026
2s_vs_1sc,SafeDreamers,1.0,19.565,0.486,0.31,0.103,0.92,0.058
3m,SafeDreamers,0.0,19.575,0.246,0.351,0.14,0.966,0.019
3m,SafeDreamers,1.0,19.457,0.419,0.598,0.171,0.956,0.034
3s5z_vs_3s6z,SafeDreamers,0.0,9.602,0.836,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafeDreamers,4.0,13.278,1.104,7.539,0.398,0.11,0.064
3s_vs_3z,SafeDreamers,0.0,19.831,0.196,0.949,0.181,0.956,0.02
3s_vs_3z,SafeDreamers,1.0,19.932,0.202,0.785,0.483,0.963,0.043
3s_vs_4z,SafeDreamers,0.0,18.187,1.575,2.641,0.344,0.228,0.162
3s_vs_4z,SafeDreamers,1.0,16.965,0.742,2.472,0.355,0.307,0.113
3s_vs_5z,SafeDreamers,0.0,16.877,1.58,2.667,0.397,0.152,0.189
3s_vs_5z,SafeDreamers,1.0,17.441,1.489,2.666,0.433,0.167,0.216
8m,SafeDreamers,0.0,18.638,2.021,2.806,1.91,0.856,0.208
8m,SafeDreamers,4.0,17.258,1.037,5.025,0.418,0.685,0.105
MMM,SafeDreamers,0.0,17.048,2.358,6.772,1.794,0.595,0.253
MMM,SafeDreamers,4.0,17.019,1.324,7.878,0.156,0.55,0.074
bane_vs_bane,SafeDreamers,0.0,17.751,2.824,13.909,7.112,0.616,0.394
bane_vs_bane,SafeDreamers,4.0,19.906,0.114,6.365,1.202,0.982,0.017
1c3s5z,SafePO,0.0,7.642,0.158,9.0,0.0,0.0,0.0
1c3s5z,SafePO,4.0,7.787,0.049,9.0,0.0,0.0,0.0
2m_vs_1z,SafePO,0.0,2.715,0.177,2.0,0.0,0.0,0.0
2m_vs_1z,SafePO,1.0,3.127,0.012,2.0,0.0,0.0,0.0
2s3z,SafePO,0.0,3.685,0.02,5.0,0.0,0.0,0.0
2s3z,SafePO,4.0,4.857,0.039,5.0,0.0,0.0,0.0
2s_vs_1sc,SafePO,0.0,2.445,0.105,2.0,0.0,0.0,0.0
2s_vs_1sc,SafePO,1.0,4.215,0.215,2.0,0.0,0.0,0.0
3m,SafePO,0.0,2.064,0.105,3.0,0.0,0.0,0.0
3m,SafePO,1.0,2.546,0.035,3.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,0.0,3.467,0.024,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,SafePO,4.0,3.864,0.036,8.0,0.0,0.0,0.0
3s_vs_3z,SafePO,0.0,6.04,0.042,3.0,0.0,0.0,0.0
3s_vs_3z,SafePO,1.0,6.276,0.099,3.0,0.0,0.0,0.0
3s_vs_4z,SafePO,0.0,4.392,0.034,3.0,0.0,0.0,0.0
3s_vs_4z,SafePO,1.0,4.548,0.013,3.0,0.0,0.0,0.0
3s_vs_5z,SafePO,0.0,3.443,0.028,3.0,0.0,0.0,0.0
3s_vs_5z,SafePO,1.0,3.521,0.016,3.0,0.0,0.0,0.0
8m,SafePO,0.0,1.426,0.007,8.0,0.0,0.0,0.0
8m,SafePO,4.0,1.627,0.011,8.0,0.0,0.0,0.0
MMM,SafePO,0.0,1.874,0.012,10.0,0.0,0.0,0.0
MMM,SafePO,4.0,1.89,0.041,10.0,0.0,0.0,0.0
bane_vs_bane,SafePO,0.0,19.256,0.013,22.546,0.018,0.79,0.015
bane_vs_bane,SafePO,4.0,19.374,0.087,22.403,0.063,0.803,0.019
