map,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,19.287,0.118,4.232,0.223,0.82,0.019
2m_vs_1z,19.305,0.397,0.142,0.068,0.948,0.029
2s3z,18.436,0.201,2.279,0.31,0.767,0.032
2s_vs_1sc,19.952,0.175,0.23,0.093,0.962,0.021
3m,19.575,0.201,0.351,0.114,0.966,0.016
3s5z_vs_3s6z,9.602,0.682,8.0,0.0,0.0,0.0
3s_vs_3z,19.831,0.16,0.949,0.148,0.956,0.016
3s_vs_4z,18.187,1.286,2.641,0.281,0.228,0.132
3s_vs_5z,16.877,1.29,2.667,0.324,0.152,0.155
8m,18.638,1.65,2.806,1.559,0.856,0.17
MMM,17.048,1.925,6.772,1.465,0.595,0.207
bane_vs_bane,16.683,2.133,16.607,5.361,0.437,0.244
