map,cost_limit,score_mean,score_std,cost_mean,cost_std,winrate_mean,winrate_std
1c3s5z,0,19.002,0.383,4.773,0.763,0.768,0.085
1c3s5z,4,18.857,0.84,5.268,1.266,0.734,0.166
2m_vs_1z,0,19.206,0.148,0.173,0.015,0.94,0.009
2m_vs_1z,1,19.662,0.053,0.1,0.008,0.974,0.003
2s3z,0,17.678,0.336,2.969,0.207,0.636,0.018
2s3z,4,17.301,0.671,3.101,0.263,0.614,0.093
2s_vs_1sc,0,19.795,0.404,0.245,0.138,0.947,0.047
2s_vs_1sc,1,19.471,0.421,0.365,0.137,0.911,0.043
3m,0,19.657,0.101,0.568,0.127,0.96,0.018
3m,1,18.358,0.819,0.894,0.194,0.868,0.065
3s5z_vs_3s6z,0,10.607,0.102,8.0,0.0,0.0,0.0
3s5z_vs_3s6z,4,10.691,0.333,8.0,0.0,0.0,0.0
3s_vs_3z,0,19.536,0.373,0.982,0.428,0.922,0.061
3s_vs_3z,1,19.561,0.144,1.08,0.29,0.926,0.019
3s_vs_3z,4,19.65,0.127,0.785,0.101,0.947,0.023
3s_vs_4z,0,14.273,0.56,2.87,0.076,0.07,0.055
3s_vs_4z,1,15.131,0.825,2.888,0.058,0.094,0.046
3s_vs_5z,0,17.07,2.508,2.987,0.018,0.013,0.018
3s_vs_5z,1,13.304,1.138,2.976,0.017,0.024,0.017
8m,0,18.79,0.484,3.425,0.404,0.857,0.053
8m,4,18.411,0.226,4.094,0.382,0.815,0.021
MMM,0,16.113,0.28,7.787,0.379,0.531,0.043
MMM,4,16.244,1.71,7.349,0.946,0.57,0.183
bane_vs_bane,0,19.369,0.903,9.122,6.176,0.847,0.216
bane_vs_bane,4,18.91,0.513,12.774,3.073,0.817,0.101
