map,cost_limit,seed,version,wandb_run_id
1c3s5z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_1c3s5z_23_time_20251029_221652
1c3s5z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_1c3s5z_2_time_20251227_110827
1c3s5z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_1c3s5z_3_time_20251224_014509
1c3s5z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s1_date04-29-hr12-06-59_17261617_feat-lag-real-episode-cost
1c3s5z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s2_date04-29-hr12-06-59_17261618_feat-lag-real-episode-cost
1c3s5z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s3_date04-29-hr12-06-59_17261619_feat-lag-real-episode-cost
2m_vs_1z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2m_vs_1z_1_time_20251116_082006
2m_vs_1z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2m_vs_1z_2_time_20251116_082006
2m_vs_1z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2m_vs_1z_3_time_20251224_014515
2m_vs_1z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s1_date04-29-hr12-06-59_17261620_feat-lag-real-episode-cost
2m_vs_1z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s2_date04-29-hr12-07-03_17261621_feat-lag-real-episode-cost
2m_vs_1z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s3_date04-29-hr12-07-03_17261622_feat-lag-real-episode-cost
2s3z,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s3z_1_time_20251120_205429
2s3z,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s3z_2_time_20251120_205429
2s3z,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s3z_3_time_20251224_014512
2s3z,0,1,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s1_date04-29-hr12-07-05_17261623_feat-lag-real-episode-cost
2s3z,0,2,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s2_date04-29-hr12-07-06_17261624_feat-lag-real-episode-cost
2s3z,0,3,new,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s3_date04-29-hr12-07-13_17261625_feat-lag-real-episode-cost
2s_vs_1sc,0,1,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s_vs_1sc_1_time_20251118_150049
2s_vs_1sc,0,2,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s_vs_1sc_2_time_20251118_150046
2s_vs_1sc,0,3,old,dead_allies_incremental_starcraft_laglr=1e-05_cost_lim=0.0_2s_vs_1sc_3_time_20251224_014513
