map,algorithm,cost_type,cost_limit,seed,status,wandb_link,slurm_job_id,score,cost,winrate,metric_step,notes
8m,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_8m_s1_date05-02-hr06-27-52_17290280_feat-lag-real-episod,17290280,,,,100000,
8m,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_8m_s2_date05-02-hr06-27-52_17290281_feat-lag-real-episod,17290281,,,,100000,
8m,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_8m_s3_date05-02-hr06-27-57_17290282_feat-lag-real-episod,17290282,,,,100000,
8m,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_8m_1_time_20260502_062800,17290283,,,,100000,
8m,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_8m_2_time_20260503_142208,17308451,,,,100000,
8m,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_8m_3_time_20260502_063917,17290285,,,,100000,
MMM,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s1_date05-01-hr17-35-15_17289244_feat-lag-real-episod,17289244,,2.5,0.52,100000,
MMM,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s2_date05-01-hr17-35-15_17289245_feat-lag-real-episod,17289245,,2.0,0.43,100000,
MMM,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_MMM_s3_date05-01-hr17-35-18_17289246_feat-lag-real-episod,17289246,,1.1,0.4,100000,
MMM,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_1_time_20260501_173545,17289253,,1.12,0.0,100000,
MMM,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_2_time_20260501_173548,17289254,,1.0,0.0,100000,
MMM,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_MMM_3_time_20260501_173548,17289255,,,,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s1_date05-01-hr17-35-26_17289247_feat-lag-real-episod,17289247,,2.4,0.0,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s2_date05-01-hr17-35-25_17289248_feat-lag-real-episod,17289248,,2.0,0.0,100000,
3s5z_vs_3s6z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s5z_vs_3s6z_s3_date05-01-hr17-35-25_17289249_feat-lag-real-episod,17289249,,1.7,0.0,100000,
3s5z_vs_3s6z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_1_time_20260501_173547,17289256,,0.3,0.0,100000,
3s5z_vs_3s6z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_2_time_20260503_142208,17308452,,0.6,0.0,100000,
3s5z_vs_3s6z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s5z_vs_3s6z_3_time_20260503_142210,17308453,,0.3,0.0,100000,
bane_vs_bane,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s1_date05-01-hr17-35-27_17289250_feat-lag-real-episod,17289250,,,,100000,
bane_vs_bane,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s2_date05-01-hr17-35-27_17289251_feat-lag-real-episod,17289251,,,,100000,
bane_vs_bane,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_bane_vs_bane_s3_date05-01-hr17-35-30_17289252_feat-lag-real-episod,17289252,,,,100000,
bane_vs_bane,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_1_time_20260503_142209,17308454,,,,100000,
bane_vs_bane,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_2_time_20260503_142216,17308455,,,,100000,
bane_vs_bane,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_bane_vs_bane_3_time_20260503_142211,17308456,,,,100000,
3s_vs_3z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_3z_s1_date05-03-hr14-34-19_17308599_feat-lag-real-episod,17308599,,,,100000,
3s_vs_3z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_3z_s2_date05-03-hr14-34-18_17308600_feat-lag-real-episod,17308600,,,,100000,
3s_vs_3z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_3z_s3_date05-03-hr14-34-18_17308601_feat-lag-real-episod,17308601,,,,100000,
3s_vs_4z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_4z_s1_date05-03-hr14-34-18_17308602_feat-lag-real-episod,17308602,,,,100000,
3s_vs_4z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_4z_s2_date05-03-hr14-34-18_17308603_feat-lag-real-episod,17308603,,,,100000,
3s_vs_4z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_4z_s3_date05-03-hr14-34-20_17308604_feat-lag-real-episod,17308604,,,,100000,
3s_vs_5z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_5z_s1_date05-03-hr14-34-20_17308605_feat-lag-real-episod,17308605,,,,100000,
3s_vs_5z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_5z_s2_date05-03-hr14-34-23_17308606_feat-lag-real-episod,17308606,,,,100000,
3s_vs_5z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3s_vs_5z_s3_date05-03-hr14-34-30_17308607_feat-lag-real-episod,17308607,,,,100000,
2s3z,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s3z_s1_date05-03-hr14-34-28_17308608_feat-lag-real-episod,17308608,,,,100000,
2s3z,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s3z_s2_date05-03-hr14-34-29_17308609_feat-lag-real-episod,17308609,,,,100000,
2s3z,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s3z_s3_date05-03-hr14-34-31_17308610_feat-lag-real-episod,17308610,,,,100000,
3m,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3m_s1_date05-03-hr14-34-33_17308611_feat-lag-real-episod,17308611,,,,100000,
3m,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3m_s2_date05-03-hr14-34-37_17308612_feat-lag-real-episod,17308612,,,,100000,
3m,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_3m_s3_date05-03-hr14-34-42_17308614_feat-lag-real-episod,17308614,,,,100000,
2s_vs_1sc,SafeDreamers,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s_vs_1sc_s1_date05-03-hr14-34-46_17308615_feat-lag-real-episod,17308615,,,,100000,
2s_vs_1sc,SafeDreamers,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s_vs_1sc_s2_date05-03-hr14-34-45_17308616_feat-lag-real-episod,17308616,,,,100000,
2s_vs_1sc,SafeDreamers,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_col_starcraft_lag1e-05_0.0_2s_vs_1sc_s3_date05-03-hr14-34-45_17308617_feat-lag-real-episod,17308617,,,,100000,
3s_vs_3z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_3z_1_time_20260503_143517,17308618,,,,100000,
3s_vs_3z,MACPO,collision,0,2,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_3z_2_time_20260503_143514,17308619,,,,100000,
3s_vs_3z,MACPO,collision,0,3,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_3z_3_time_20260503_143515,17308620,,,,100000,
3s_vs_4z,MACPO,collision,0,1,running,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safepo_macpo_collision_cost_limit=0.0_3s_vs_4z_1_time_20260503_143514,17308621,,,,100000,
