wandb_link,env,algorithm,seed,cost_limit,slurm_id,laglr
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety2x4AntVelocity-v0_s1_date06-24-hr11-46-06_18362835_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,1,25.0,18362835,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety2x4AntVelocity-v0_s2_date06-24-hr11-46-06_18362836_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,2,25.0,18362836,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety2x4AntVelocity-v0_s3_date06-24-hr11-46-17_18362838_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,3,25.0,18362838,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety4x2AntVelocity-v0_s1_date06-24-hr11-46-21_18362839_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,1,25.0,18362839,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety4x2AntVelocity-v0_s2_date06-24-hr11-46-21_18362840_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,2,25.0,18362840,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_25.0_Safety4x2AntVelocity-v0_s3_date06-24-hr11-46-21_18362841_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,3,25.0,18362841,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_0.2_Safety2x4AntVelocity-v0_s1_date06-24-hr13-34-23_18367088_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,1,0.2,18367088,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_0.2_Safety2x4AntVelocity-v0_s2_date06-26-hr11-57-47_18367089_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,2,0.2,18367089,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_0.2_Safety2x4AntVelocity-v0_s3_date06-26-hr11-57-47_18367091_fix-tanh-logprob-cor,Safety2x4AntVelocity-v0,SafeDreamer,3,0.2,18367091,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_1.0_Safety4x2AntVelocity-v0_s1_date06-26-hr11-57-47_18367092_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,1,1.0,18367092,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_1.0_Safety4x2AntVelocity-v0_s2_date06-26-hr11-57-47_18367096_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,2,1.0,18367096,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_1.0_Safety4x2AntVelocity-v0_s3_date06-26-hr11-57-52_18367097_fix-tanh-logprob-cor,Safety4x2AntVelocity-v0,SafeDreamer,3,1.0,18367097,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dai_safety_gym_lag1e-05_5.0_Safety2x3HalfCheetahVelocity-v0_s1_date06-26-hr11-59-49_18367101_fix-tanh-logprob-cor,Safety2x3HalfCheetahVelocity-v0,SafeDreamer,1,5.0,18367101,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/fix-logprob_dai_safety_gym_lag1e-05_25.0_Safety2x3HalfCheetahVelocity-v0_s1_date06-15-hr15-50-48_18174008_fix-tanh-logprob-cor,Safety2x3HalfCheetahVelocity-v0,SafeDreamer,1,25.0,18174008,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/fix-logprob_dai_safety_gym_lag1e-05_25.0_Safety2x3HalfCheetahVelocity-v0_s2_date06-15-hr15-50-53_18174009_fix-tanh-logprob-cor,Safety2x3HalfCheetahVelocity-v0,SafeDreamer,2,25.0,18174009,1e-05
https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/fix-logprob_dai_safety_gym_lag1e-05_25.0_Safety2x3HalfCheetahVelocity-v0_s3_date06-15-hr15-50-53_18174010_fix-tanh-logprob-cor,Safety2x3HalfCheetahVelocity-v0,SafeDreamer,3,25.0,18174010,1e-05
