map,cost_limit,seed,wandb_run_id,score,cost,winrate,wandb_link,algorithm
1c3s5z,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s1_date04-29-hr12-06-59_17261617_feat-lag-real-episode-cost,19.331,4.0,0.831,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s1_date04-29-hr12-06-59_17261617_feat-lag-real-episode-cost,SafeDreamers
1c3s5z,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s2_date04-29-hr12-06-59_17261618_feat-lag-real-episode-cost,19.404,4.164,0.836,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s2_date04-29-hr12-06-59_17261618_feat-lag-real-episode-cost,SafeDreamers
1c3s5z,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s3_date04-29-hr12-06-59_17261619_feat-lag-real-episode-cost,19.127,4.532,0.792,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_1c3s5z_s3_date04-29-hr12-06-59_17261619_feat-lag-real-episode-cost,SafeDreamers
1c3s5z,4,1,,,,,,SafeDreamers
1c3s5z,4,2,,,,,,SafeDreamers
1c3s5z,4,3,,,,,,SafeDreamers
2m_vs_1z,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s1_date04-29-hr12-06-59_17261620_feat-lag-real-episode-cost,19.556,0.149,0.968,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s1_date04-29-hr12-06-59_17261620_feat-lag-real-episode-cost,SafeDreamers
2m_vs_1z,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s2_date04-29-hr12-07-03_17261621_feat-lag-real-episode-cost,19.621,0.065,0.972,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s2_date04-29-hr12-07-03_17261621_feat-lag-real-episode-cost,SafeDreamers
2m_vs_1z,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s3_date04-29-hr12-07-03_17261622_feat-lag-real-episode-cost,18.463,0.244,0.889,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2m_vs_1z_s3_date04-29-hr12-07-03_17261622_feat-lag-real-episode-cost,SafeDreamers
2m_vs_1z,1,1,,,,,,SafeDreamers
2m_vs_1z,1,2,,,,,,SafeDreamers
2m_vs_1z,1,3,,,,,,SafeDreamers
2s3z,0,1,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s1_date04-29-hr12-07-05_17261623_feat-lag-real-episode-cost,18.155,2.689,0.722,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s1_date04-29-hr12-07-05_17261623_feat-lag-real-episode-cost,SafeDreamers
2s3z,0,2,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s2_date04-29-hr12-07-06_17261624_feat-lag-real-episode-cost,18.617,2.208,0.781,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s2_date04-29-hr12-07-06_17261624_feat-lag-real-episode-cost,SafeDreamers
2s3z,0,3,safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s3_date04-29-hr12-07-13_17261625_feat-lag-real-episode-cost,18.534,1.939,0.798,https://wandb.ai/raz-shmueli-corsound-ai/private-mamba/runs/safedreamer_dead_allies_incremental_starcraft_lag1e-05_0.0_2s3z_s3_date04-29-hr12-07-13_17261625_feat-lag-real-episode-cost,SafeDreamers
2s3z,4,1,,,,,,SafeDreamers
2s3z,4,2,,,,,,SafeDreamers
2s3z,4,3,,,,,,SafeDreamers
