env,cost_limit,source,target_steps,score_mean,score_std,score_count,cost_mean,cost_std,cost_count,laglr
Safety2x3HalfCheetahVelocity-v0,5.0,MACPO Run,10000000,1316.8,115.7,3,5.0,1.7,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),100000,8.5,,1,0.0,,1,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),500000,1410.6,,1,0.0,,1,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),1000000,1519.2,,1,35.8,,1,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),100000,1136.2,564.6,3,30.1,30.2,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),500000,2000.5,120.6,3,5.4,6.9,3,1e-05
Safety2x3HalfCheetahVelocity-v0,25.0,SafeDreamer (lr=1e-5),1000000,2527.2,228.6,3,16.6,2.0,3,1e-05
Safety2x4AntVelocity-v0,0.2,MACPO Run,10000000,859.2,32.7,3,1.2,0.7,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),100000,894.0,51.4,3,0.0,0.0,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),500000,1410.2,394.7,3,2.0,1.8,3,1e-05
Safety2x4AntVelocity-v0,0.2,SafeDreamer (lr=1e-5),1000000,2267.8,134.1,3,24.3,5.6,3,1e-05
Safety2x4AntVelocity-v0,25.0,MACPO Run,10000000,798.1,109.4,3,10.5,1.7,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),100000,836.2,93.2,3,0.0,0.0,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),500000,1086.0,412.1,3,6.8,11.5,3,1e-05
Safety2x4AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),1000000,1835.8,678.3,3,17.4,15.1,3,1e-05
Safety4x2AntVelocity-v0,1.0,MACPO Run,10000000,1097.6,97.4,3,3.4,1.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),100000,916.3,15.3,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),500000,965.2,34.3,3,0.3,0.6,3,1e-05
Safety4x2AntVelocity-v0,1.0,SafeDreamer (lr=1e-5),1000000,1241.0,565.5,3,2.5,3.1,3,1e-05
Safety4x2AntVelocity-v0,25.0,MACPO Run,10000000,1287.3,148.3,3,23.6,6.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),100000,902.4,49.0,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),500000,997.3,83.4,3,0.0,0.0,3,1e-05
Safety4x2AntVelocity-v0,25.0,SafeDreamer (lr=1e-5),1000000,1574.5,304.2,3,0.5,0.8,3,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),700000,1455.9,,1,15.0,,1,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),800000,1450.3,,1,22.2,,1,1e-05
Safety2x3HalfCheetahVelocity-v0,5.0,SafeDreamer (lr=1e-5),900000,1685.9,,1,37.8,,1,1e-05
